CustomerID,total_orders,first_purchase_date,last_purchase_date
12414,3,2/2/2011 14:51,5/6/2011 14:51
12415,21,1/10/2011 9:58,9/1/2011 13:51
12417,9,1/25/2011 9:11,8/4/2011 18:51
12418,1,8/19/2011 11:08,8/19/2011 11:08
12420,1,10/7/2011 8:55,10/7/2011 8:55
12421,4,1/24/2011 15:09,8/17/2011 10:56
12422,3,1/19/2011 9:13,9/5/2011 9:48
12423,8,12/21/2010 10:54,8/31/2011 8:55
12424,2,6/30/2011 12:06,6/30/2011 12:06
12425,1,9/22/2011 17:31,9/22/2011 17:31
12426,1,5/29/2011 12:26,5/29/2011 12:26
12427,3,10/10/2011 15:15,12/3/2010 10:44
12428,9,11/14/2011 8:22,8/11/2011 12:58
12429,4,11/30/2011 17:22,6/20/2011 12:14
12430,1,10/27/2011 15:09,10/27/2011 15:09
12431,15,1/28/2011 14:37,8/12/2011 14:19
12432,5,10/28/2011 11:40,6/22/2011 13:12
12433,7,10/27/2011 13:43,9/9/2011 13:44
12434,2,3/24/2011 13:05,9/16/2011 12:38
12435,2,3/17/2011 7:40,9/21/2011 9:06
12436,1,9/1/2011 12:09,9/1/2011 12:09
12437,18,1/12/2011 14:13,9/22/2011 16:58
12438,2,11/25/2011 13:28,7/22/2011 13:29
12441,1,12/8/2010 10:45,12/8/2010 10:45
12442,1,12/6/2011 14:22,12/6/2011 14:22
12444,5,10/12/2011 12:08,9/15/2011 9:43
12445,1,11/17/2011 18:43,11/17/2011 18:43
12446,1,10/13/2011 12:50,10/13/2011 12:50
12447,1,4/10/2011 13:25,4/10/2011 13:25
12448,1,10/26/2011 13:46,10/26/2011 13:46
12449,4,11/17/2011 13:46,9/9/2011 9:13
12450,2,6/19/2011 14:36,7/6/2011 14:41
12451,5,1/19/2011 9:05,5/5/2011 17:34
12452,2,11/23/2011 10:28,11/23/2011 8:05
12453,1,7/28/2011 14:08,7/28/2011 14:08
12454,1,10/14/2011 17:13,10/14/2011 17:13
12455,6,2/16/2011 9:56,9/27/2011 15:31
12456,3,10/26/2011 14:41,7/31/2011 15:25
12457,7,10/4/2011 13:13,9/19/2011 9:04
12458,2,2/28/2011 10:55,9/29/2011 15:25
12461,2,7/8/2011 10:23,9/6/2011 16:57
12462,2,11/21/2011 9:11,2/9/2011 14:44
12463,4,10/17/2011 13:44,6/17/2011 14:28
12464,8,11/17/2011 15:55,8/25/2011 13:33
12465,2,11/22/2011 16:34,6/23/2011 13:37
12468,2,1/27/2011 13:29,6/5/2011 11:36
12471,30,1/13/2011 13:21,9/22/2011 17:25
12472,7,1/26/2011 12:27,7/24/2011 11:55
12473,5,10/17/2011 11:27,8/17/2011 12:04
12474,18,1/14/2011 10:06,9/2/2011 10:53
12475,1,10/17/2011 10:10,10/17/2011 10:10
12476,11,1/31/2011 11:46,9/16/2011 10:56
12477,6,10/14/2011 13:54,8/31/2011 9:11
12478,1,12/6/2011 9:56,12/6/2011 9:56
12479,1,11/28/2011 13:26,11/28/2011 13:26
12480,4,1/7/2011 15:27,7/19/2011 14:04
12481,10,1/7/2011 10:32,6/13/2011 10:52
12483,8,1/4/2011 14:20,9/2/2011 11:42
12484,6,1/7/2011 14:04,8/31/2011 9:44
12488,3,10/31/2011 10:42,9/25/2011 10:34
12489,1,1/7/2011 13:13,1/7/2011 13:13
12490,10,1/14/2011 9:13,9/7/2011 13:22
12491,1,11/1/2011 12:18,11/1/2011 12:18
12492,2,10/7/2011 15:15,8/26/2011 14:51
12493,2,5/26/2011 14:53,6/27/2011 10:17
12494,7,10/30/2011 15:44,7/1/2011 12:17
12497,1,9/19/2011 12:29,9/19/2011 12:29
12498,3,10/13/2011 9:30,11/18/2011 12:53
12500,11,1/10/2011 9:48,8/25/2011 12:50
12501,1,1/7/2011 12:28,1/7/2011 12:28
12502,5,2/3/2011 10:41,9/5/2011 11:52
12504,2,11/21/2011 16:02,11/9/2011 14:56
12506,1,4/21/2011 8:54,4/21/2011 8:54
12507,3,2/14/2011 9:24,7/7/2011 10:20
12508,2,11/10/2011 16:27,11/13/2011 15:37
12509,1,2/28/2011 14:45,2/28/2011 14:45
12510,2,1/18/2011 14:04,7/20/2011 10:15
12512,2,10/4/2011 14:53,10/4/2011 14:55
12513,1,8/19/2011 10:51,8/19/2011 10:51
12514,1,3/17/2011 16:38,3/17/2011 16:38
12515,1,12/21/2010 15:43,12/21/2010 15:43
12516,2,6/12/2011 11:37,9/23/2011 9:13
12517,5,11/11/2011 13:57,9/27/2011 11:50
12518,5,10/12/2011 10:36,9/23/2011 15:45
12519,1,10/7/2011 9:26,10/7/2011 9:26
12520,5,3/11/2011 11:35,9/21/2011 15:23
12521,1,7/20/2011 10:51,7/20/2011 10:51
12522,2,10/19/2011 14:41,10/31/2011 15:30
12523,11,1/12/2011 9:43,9/21/2011 14:43
12524,8,1/10/2011 10:35,6/30/2011 15:30
12526,3,10/17/2011 9:37,9/6/2011 14:19
12527,3,1/18/2011 12:05,9/19/2011 11:55
12528,6,1/31/2011 9:05,8/17/2011 12:30
12530,4,1/7/2011 10:04,8/8/2011 10:59
12531,1,11/25/2011 11:12,11/25/2011 11:12
12532,1,11/9/2011 13:47,11/9/2011 13:47
12534,1,8/1/2011 10:26,8/1/2011 10:26
12535,2,6/6/2011 12:47,9/9/2011 8:48
12536,3,10/11/2011 14:52,10/27/2011 14:20
12538,1,11/10/2011 17:16,11/10/2011 17:16
12539,4,1/10/2011 9:11,3/22/2011 16:00
12540,17,1/11/2011 12:25,9/8/2011 13:38
12541,3,11/10/2011 10:40,6/19/2011 15:59
12544,1,11/3/2011 16:15,11/3/2011 16:15
12545,2,3/25/2011 12:04,9/25/2011 13:39
12546,2,10/24/2011 12:09,9/23/2011 9:44
12547,2,3/4/2011 12:46,5/26/2011 12:38
12548,1,6/26/2011 15:35,6/26/2011 15:35
12550,1,9/21/2011 14:35,9/21/2011 14:35
12551,1,12/17/2010 11:23,12/17/2010 11:23
12552,2,10/31/2011 12:11,11/1/2011 10:02
12553,10,1/14/2011 10:42,8/21/2011 14:42
12556,2,10/20/2011 13:06,7/11/2011 13:35
12557,5,1/11/2011 11:39,7/4/2011 13:19
12558,1,12/2/2011 10:41,12/2/2011 10:41
12559,2,1/24/2011 10:12,2/2/2011 9:49
12560,3,12/4/2011 13:54,8/19/2011 15:22
12561,1,2/10/2011 11:39,2/10/2011 11:39
12562,7,10/14/2011 14:55,9/19/2011 9:15
12564,1,3/23/2011 14:55,3/23/2011 14:55
12565,1,2/24/2011 10:34,2/24/2011 10:34
12566,1,9/14/2011 14:30,9/14/2011 14:30
12567,10,11/17/2011 11:02,9/4/2011 14:22
12569,32,10/12/2011 11:49,9/8/2011 15:22
12571,2,10/31/2011 10:19,8/10/2011 12:35
12572,2,10/19/2011 8:20,12/1/2011 9:20
12573,1,4/26/2011 15:52,4/26/2011 15:52
12574,1,1/28/2011 9:20,1/28/2011 9:20
12576,5,11/4/2011 10:11,9/5/2011 10:06
12577,3,11/4/2011 13:15,12/15/2010 16:21
12578,2,1/13/2011 15:34,11/18/2011 13:30
12579,1,9/22/2011 17:15,9/22/2011 17:15
12580,1,4/7/2011 10:24,4/7/2011 10:24
12581,1,10/31/2011 8:56,10/31/2011 8:56
12582,2,2/24/2011 11:42,4/15/2011 8:45
12583,15,1/7/2011 12:07,9/30/2011 12:58
12584,9,10/13/2011 10:57,9/20/2011 13:21
12585,2,12/23/2010 12:58,4/19/2011 13:39
12586,1,11/22/2011 16:24,11/22/2011 16:24
12587,1,12/2/2011 12:47,12/2/2011 12:47
12588,1,10/31/2011 15:01,10/31/2011 15:01
12589,2,11/11/2011 10:19,7/18/2011 12:05
12590,2,5/12/2011 14:46,5/12/2011 14:52
12591,1,1/26/2011 14:35,1/26/2011 14:35
12592,2,5/10/2011 13:44,9/8/2011 15:04
12593,3,5/5/2011 9:29,8/23/2011 12:43
12594,10,1/21/2011 9:52,8/10/2011 14:26
12596,2,10/19/2011 13:02,4/11/2011 13:22
12597,4,10/30/2011 13:06,6/9/2011 16:04
12598,8,11/11/2011 12:07,9/29/2011 16:52
12599,7,11/10/2011 13:34,8/5/2011 12:38
12600,10,11/11/2011 10:29,9/16/2011 14:20
12601,5,1/11/2011 10:38,6/3/2011 10:17
12602,1,10/12/2011 11:22,10/12/2011 11:22
12603,1,11/18/2011 10:42,11/18/2011 10:42
12604,2,3/23/2011 12:06,9/21/2011 14:08
12607,1,10/10/2011 16:06,10/10/2011 16:06
12609,3,1/25/2011 15:13,9/22/2011 16:34
12610,5,10/25/2011 14:23,8/5/2011 13:52
12611,1,10/18/2011 13:12,10/18/2011 13:12
12612,1,9/26/2011 15:35,9/26/2011 15:35
12613,5,10/13/2011 14:59,5/26/2011 9:18
12614,1,3/7/2011 10:22,3/7/2011 10:22
12615,4,11/3/2011 10:45,9/29/2011 10:23
12616,2,2/15/2011 14:17,9/5/2011 15:17
12617,1,11/10/2011 14:39,11/10/2011 14:39
12618,1,11/18/2011 11:10,11/18/2011 11:10
12619,9,11/23/2011 14:52,9/23/2011 9:00
12620,3,11/25/2011 10:20,9/20/2011 10:06
12621,20,10/18/2011 12:48,9/19/2011 14:56
12622,1,4/21/2011 16:39,4/21/2011 16:39
12623,1,3/8/2011 13:50,3/8/2011 13:50
12624,2,6/15/2011 12:34,8/25/2011 15:04
12625,2,1/24/2011 13:27,5/12/2011 9:54
12626,9,1/17/2011 11:01,8/4/2011 14:20
12627,7,10/6/2011 15:51,9/4/2011 14:09
12628,3,10/6/2011 9:28,12/5/2011 13:15
12630,2,10/27/2011 10:41,11/30/2011 10:48
12631,1,10/13/2011 13:53,10/13/2011 13:53
12633,4,10/12/2011 11:40,8/2/2011 9:35
12635,2,7/8/2011 8:43,9/11/2011 11:04
12637,8,1/20/2011 10:47,9/9/2011 11:48
12638,1,11/6/2011 13:11,11/6/2011 13:11
12639,1,4/15/2011 12:48,4/15/2011 12:48
12640,3,11/15/2011 8:43,9/19/2011 12:01
12641,1,8/16/2011 13:26,8/16/2011 13:26
12642,3,10/20/2011 12:31,8/24/2011 9:23
12643,6,1/11/2011 11:48,8/3/2011 12:56
12644,1,8/2/2011 10:33,8/2/2011 10:33
12645,4,1/27/2011 13:08,8/22/2011 12:40
12646,2,10/21/2011 12:52,12/5/2011 10:14
12647,12,11/17/2011 12:56,9/22/2011 17:14
12648,1,7/8/2011 11:55,7/8/2011 11:55
12649,3,5/11/2011 14:37,8/24/2011 14:41
12650,1,12/6/2011 16:34,12/6/2011 16:34
12651,1,1/9/2011 12:46,1/9/2011 12:46
12652,1,1/12/2011 15:00,1/12/2011 15:00
12653,2,2/16/2011 10:53,7/14/2011 10:41
12654,5,11/2/2011 14:57,5/26/2011 10:43
12656,5,11/22/2011 13:42,9/28/2011 11:38
12657,4,10/28/2011 18:07,9/22/2011 11:40
12658,1,11/21/2011 10:22,11/21/2011 10:22
12659,1,11/10/2011 11:53,11/10/2011 11:53
12660,1,11/28/2011 13:26,11/28/2011 13:26
12662,11,10/18/2011 9:24,8/24/2011 13:42
12664,9,1/21/2011 11:42,9/13/2011 15:35
12665,1,1/19/2011 8:34,1/19/2011 8:34
12667,1,10/12/2011 17:00,10/12/2011 17:00
12668,4,1/31/2011 13:27,3/25/2011 14:53
12669,3,3/28/2011 10:15,7/12/2011 9:54
12670,5,11/10/2011 15:03,9/2/2011 9:51
12672,1,1/14/2011 9:20,1/14/2011 9:20
12673,2,1/17/2011 11:46,12/4/2011 13:55
12674,4,11/1/2011 12:12,9/9/2011 10:51
12676,6,11/15/2011 12:25,9/30/2011 9:25
12678,12,10/28/2011 13:04,9/22/2011 10:52
12679,4,10/12/2011 12:30,9/13/2011 10:34
12680,4,12/9/2011 12:50,9/27/2011 12:53
12681,22,1/10/2011 13:22,9/23/2011 12:09
12682,31,1/5/2011 14:48,9/19/2011 12:19
12683,15,1/17/2011 15:17,9/8/2011 10:35
12684,7,10/7/2011 10:18,6/22/2011 11:20
12685,6,10/13/2011 8:42,9/8/2011 10:32
12686,1,12/3/2010 9:51,12/3/2010 9:51
12688,1,8/18/2011 8:49,8/18/2011 8:49
12689,2,11/14/2011 8:31,8/4/2011 10:04
12690,1,5/18/2011 9:09,5/18/2011 9:09
12691,6,1/24/2011 15:32,7/17/2011 14:56
12693,4,1/24/2011 12:58,8/4/2011 17:51
12694,2,6/9/2011 17:48,9/30/2011 13:06
12695,4,10/4/2011 15:02,8/24/2011 12:58
12697,3,11/11/2011 8:47,7/31/2011 14:17
12700,4,10/5/2011 9:57,7/6/2011 13:14
12701,2,4/11/2011 13:02,9/21/2011 10:47
12702,1,11/20/2011 10:36,11/20/2011 10:36
12703,1,9/29/2011 17:52,9/29/2011 17:52
12704,8,11/17/2011 14:49,9/22/2011 18:14
12705,9,10/28/2011 14:44,9/23/2011 12:55
12707,1,2/21/2011 8:38,2/21/2011 8:38
12708,10,1/14/2011 9:23,9/28/2011 13:30
12709,15,1/25/2011 13:37,9/4/2011 14:06
12710,3,5/22/2011 14:05,9/4/2011 12:00
12712,13,1/12/2011 11:46,8/25/2011 9:18
12713,1,12/9/2011 12:16,12/9/2011 12:16
12714,5,11/30/2011 15:43,8/25/2011 9:55
12715,1,8/25/2011 15:22,8/25/2011 15:22
12716,2,12/6/2011 8:55,7/29/2011 13:28
12717,2,4/8/2011 10:32,7/11/2011 14:47
12718,1,9/29/2011 16:38,9/29/2011 16:38
12719,2,10/5/2011 14:50,12/4/2011 13:45
12720,25,1/31/2011 9:51,9/6/2011 13:47
12721,6,11/8/2011 12:13,9/21/2011 12:26
12722,4,7/12/2011 11:55,9/15/2011 14:50
12723,5,10/5/2011 15:52,12/6/2011 10:19
12724,4,1/11/2011 15:00,9/19/2011 12:36
12725,1,12/3/2010 15:45,12/3/2010 15:45
12726,7,1/28/2011 10:45,9/14/2011 14:19
12727,7,1/23/2011 15:17,9/5/2011 13:38
12728,4,1/11/2011 13:31,9/29/2011 15:31
12729,1,8/18/2011 11:40,8/18/2011 11:40
12731,12,1/31/2011 9:57,9/30/2011 12:06
12732,1,6/13/2011 11:33,6/13/2011 11:33
12733,1,4/19/2011 16:19,4/19/2011 16:19
12734,1,12/22/2010 12:47,12/22/2010 12:47
12735,2,1/28/2011 13:37,1/6/2011 14:26
12736,1,1/11/2011 7:57,1/11/2011 7:57
12738,1,12/2/2010 18:27,12/2/2010 18:27
12739,2,9/1/2011 17:45,9/22/2011 13:00
12740,1,10/7/2011 10:44,10/7/2011 10:44
12743,2,7/28/2011 16:06,7/28/2011 16:21
12744,7,1/25/2011 13:26,7/18/2011 11:55
12747,11,1/20/2011 14:01,8/22/2011 10:38
12748,210,1/16/2011 13:04,9/9/2011 13:20
12749,5,11/17/2011 12:05,8/1/2011 12:50
12750,1,8/3/2011 9:13,8/3/2011 9:13
12752,1,9/19/2011 13:32,9/19/2011 13:32
12753,6,11/17/2011 10:52,7/27/2011 9:32
12754,3,2/4/2011 10:31,4/18/2011 9:00
12755,2,12/9/2010 10:44,3/4/2011 12:42
12756,1,9/14/2011 9:31,9/14/2011 9:31
12757,13,10/19/2011 14:36,7/20/2011 12:05
12758,2,3/8/2011 12:05,8/15/2011 10:22
12759,3,10/18/2011 14:49,6/21/2011 9:26
12762,2,11/14/2011 14:23,12/2/2011 10:23
12763,2,12/5/2010 15:46,7/24/2011 14:12
12764,1,1/27/2011 10:19,1/27/2011 10:19
12766,7,1/9/2011 15:56,7/13/2011 13:37
12769,1,4/15/2011 10:25,4/15/2011 10:25
12770,1,5/13/2011 9:33,5/13/2011 9:33
12772,1,10/11/2011 9:19,10/11/2011 9:19
12775,5,11/22/2011 16:33,6/3/2011 7:48
12778,6,1/31/2011 14:35,6/9/2011 15:29
12779,8,1/17/2011 10:37,6/3/2011 10:37
12781,2,10/7/2011 10:37,2/28/2011 8:43
12782,5,1/26/2011 10:02,7/13/2011 10:30
12783,6,10/14/2011 11:42,9/25/2011 15:35
12784,2,11/24/2011 12:53,11/30/2011 15:38
12785,1,12/10/2010 13:48,12/10/2010 13:48
12787,3,11/30/2011 8:44,9/9/2011 12:24
12789,1,10/5/2011 13:34,10/5/2011 13:34
12790,1,5/31/2011 14:14,5/31/2011 14:14
12791,1,12/1/2010 11:27,12/1/2010 11:27
12792,1,3/28/2011 11:36,3/28/2011 11:36
12793,2,1/9/2011 12:12,12/3/2010 15:14
12794,2,10/17/2011 14:54,9/2/2011 12:01
12795,1,11/21/2011 10:27,11/21/2011 10:27
12797,1,12/9/2010 10:55,12/9/2010 10:55
12798,3,10/26/2011 13:21,6/22/2011 10:11
12802,1,6/6/2011 9:36,6/6/2011 9:36
12808,3,11/3/2011 10:05,6/8/2011 12:21
12809,1,6/15/2011 10:51,6/15/2011 10:51
12811,3,2/28/2011 15:39,3/24/2011 9:42
12812,1,10/26/2011 9:54,10/26/2011 9:54
12814,1,8/30/2011 12:11,8/30/2011 12:11
12815,2,5/25/2011 13:34,7/15/2011 10:21
12816,2,6/16/2011 13:24,9/5/2011 12:41
12817,1,3/3/2011 16:28,3/3/2011 16:28
12818,1,3/23/2011 12:06,3/23/2011 12:06
12820,4,1/17/2011 12:34,9/26/2011 11:49
12821,1,5/9/2011 15:51,5/9/2011 15:51
12822,2,9/13/2011 13:46,9/30/2011 10:04
12823,5,2/16/2011 12:15,9/26/2011 7:35
12824,1,10/11/2011 12:49,10/11/2011 12:49
12826,7,1/19/2011 12:52,9/29/2011 10:55
12827,3,10/26/2011 15:44,12/4/2011 12:17
12828,6,10/5/2011 10:53,9/1/2011 17:14
12829,2,1/7/2011 11:13,12/14/2010 14:54
12830,6,11/2/2011 11:54,9/9/2011 15:02
12831,1,3/22/2011 13:02,3/22/2011 13:02
12832,2,11/7/2011 13:30,9/2/2011 13:48
12833,1,7/17/2011 13:46,7/17/2011 13:46
12834,1,3/2/2011 9:49,3/2/2011 9:49
12836,4,10/11/2011 15:10,7/25/2011 15:22
12837,1,6/19/2011 16:07,6/19/2011 16:07
12838,2,11/6/2011 12:20,12/1/2010 11:57
12839,14,10/27/2011 14:13,9/8/2011 13:17
12840,4,4/27/2011 12:21,7/19/2011 9:29
12841,25,1/19/2011 12:38,9/11/2011 12:13
12842,2,2/4/2011 12:36,9/30/2011 15:33
12843,8,10/5/2011 12:09,7/3/2011 12:21
12844,2,11/10/2011 13:31,8/1/2011 13:11
12845,4,2/22/2011 14:10,3/17/2011 13:34
12847,1,11/17/2011 13:16,11/17/2011 13:16
12849,2,11/8/2011 13:41,3/16/2011 12:26
12851,1,9/4/2011 12:41,9/4/2011 12:41
12852,1,2/18/2011 8:47,2/18/2011 8:47
12853,6,1/28/2011 10:28,7/28/2011 11:29
12854,3,1/25/2011 13:35,9/22/2011 12:15
12855,1,12/2/2010 9:37,12/2/2010 9:37
12856,6,10/14/2011 12:53,12/2/2011 10:52
12857,2,2/10/2011 12:32,5/13/2011 10:20
12863,1,10/18/2011 14:15,10/18/2011 14:15
12864,1,7/24/2011 13:03,7/24/2011 13:03
12865,2,11/13/2011 14:31,8/8/2011 10:11
12866,1,3/1/2011 14:11,3/1/2011 14:11
12867,7,11/13/2011 15:30,9/4/2011 13:35
12868,6,1/12/2011 15:25,6/7/2011 10:42
12871,2,5/16/2011 13:32,9/16/2011 15:07
12872,2,1/17/2011 10:52,12/9/2010 14:44
12873,1,3/2/2011 14:58,3/2/2011 14:58
12875,2,12/12/2010 12:03,7/19/2011 15:30
12876,2,10/13/2011 12:26,5/27/2011 13:34
12877,12,1/14/2011 11:50,9/22/2011 13:05
12878,2,3/18/2011 14:02,4/17/2011 13:07
12879,3,10/26/2011 12:24,9/9/2011 12:11
12881,1,3/9/2011 11:44,3/9/2011 11:44
12882,2,11/30/2011 16:18,11/6/2011 11:22
12883,4,11/15/2011 9:30,9/11/2011 15:18
12884,1,9/12/2011 13:10,9/12/2011 13:10
12885,3,10/7/2011 13:34,8/8/2011 11:45
12886,2,10/3/2011 10:09,5/4/2011 11:21
12888,2,3/29/2011 14:31,5/9/2011 16:02
12890,1,11/15/2011 17:26,11/15/2011 17:26
12891,3,2/20/2011 11:28,6/7/2011 12:31
12893,1,11/9/2011 12:34,11/9/2011 12:34
12895,2,10/28/2011 13:51,9/14/2011 8:35
12897,2,2/11/2011 11:40,5/19/2011 12:13
12901,28,10/16/2011 10:19,9/19/2011 13:39
12902,1,3/20/2011 12:06,3/20/2011 12:06
12904,2,11/21/2011 14:34,6/20/2011 13:18
12906,5,11/28/2011 9:53,9/22/2011 15:03
12908,2,1/31/2011 12:37,6/16/2011 15:39
12909,5,10/31/2011 12:43,9/13/2011 12:22
12910,8,10/6/2011 13:06,9/22/2011 12:55
12912,5,10/30/2011 11:35,12/7/2011 8:55
12913,5,11/24/2011 10:39,3/2/2011 10:49
12915,2,12/2/2010 12:33,7/14/2011 11:34
12916,4,1/23/2011 10:43,7/24/2011 10:35
12917,1,8/3/2011 16:42,8/3/2011 16:42
12919,6,11/23/2011 10:38,8/15/2011 11:39
12920,1,11/22/2011 15:05,11/22/2011 15:05
12921,37,1/5/2011 11:00,9/2/2011 13:01
12922,1,7/1/2011 15:35,7/1/2011 15:35
12923,1,10/6/2011 16:20,10/6/2011 16:20
12924,4,1/16/2011 11:49,9/12/2011 13:55
12925,2,12/5/2011 11:11,9/26/2011 11:05
12928,5,10/25/2011 9:31,7/15/2011 8:09
12929,1,2/1/2011 12:08,2/1/2011 12:08
12930,2,6/21/2011 13:25,9/22/2011 15:18
12931,15,10/3/2011 13:53,8/4/2011 18:07
12933,3,11/15/2011 16:38,6/21/2011 16:13
12935,7,1/24/2011 13:58,8/22/2011 12:22
12936,4,11/18/2011 10:37,9/22/2011 13:51
12937,4,11/24/2011 15:05,9/29/2011 14:38
12938,1,11/14/2011 11:21,11/14/2011 11:21
12939,8,1/9/2011 11:20,9/21/2011 13:35
12940,2,10/16/2011 12:09,9/13/2011 10:16
12942,3,12/9/2010 9:34,7/31/2011 14:39
12944,2,11/4/2011 11:04,12/20/2010 10:41
12945,1,2/24/2011 14:15,2/24/2011 14:15
12947,6,1/7/2011 9:40,7/19/2011 10:06
12948,7,10/11/2011 15:53,8/26/2011 14:45
12949,8,11/9/2011 11:25,8/17/2011 15:11
12950,3,11/15/2011 13:48,12/7/2011 13:17
12951,6,1/13/2011 10:33,6/19/2011 10:35
12952,4,10/27/2011 16:59,9/22/2011 16:37
12953,1,11/30/2011 9:24,11/30/2011 9:24
12955,11,10/18/2011 15:42,9/8/2011 12:48
12956,1,2/6/2011 16:08,2/6/2011 16:08
12957,8,1/4/2011 12:18,9/29/2011 12:01
12962,2,12/2/2011 15:55,8/18/2011 13:38
12963,8,10/17/2011 14:01,9/16/2011 9:03
12965,1,9/11/2011 15:31,9/11/2011 15:31
12966,1,11/30/2011 12:38,11/30/2011 12:38
12967,2,12/16/2010 19:10,12/3/2010 9:49
12968,1,8/19/2011 15:44,8/19/2011 15:44
12970,4,1/21/2011 14:04,12/2/2011 14:30
12971,86,1/11/2011 16:24,9/8/2011 14:02
12974,1,5/26/2011 9:33,5/26/2011 9:33
12976,1,5/12/2011 9:55,5/12/2011 9:55
12977,1,7/6/2011 16:40,7/6/2011 16:40
12980,9,1/12/2011 11:53,7/5/2011 9:34
12981,2,11/10/2011 12:00,7/29/2011 14:14
12982,1,4/11/2011 11:51,4/11/2011 11:51
12984,1,11/21/2011 12:37,11/21/2011 12:37
12985,2,11/11/2011 12:44,12/9/2011 10:46
12987,2,5/26/2011 12:00,9/27/2011 12:03
12988,1,2/20/2011 14:31,2/20/2011 14:31
12989,15,1/16/2011 12:44,9/12/2011 15:43
12990,3,11/8/2011 13:01,6/7/2011 14:27
12991,2,11/16/2011 15:34,8/19/2011 14:39
12993,4,11/16/2011 15:49,8/11/2011 12:01
12994,3,12/5/2011 15:43,8/11/2011 17:02
12995,1,9/15/2011 15:44,9/15/2011 15:44
12997,4,1/26/2011 15:49,9/12/2011 8:24
12999,3,4/8/2011 10:26,5/27/2011 13:24
13000,3,12/10/2010 10:26,8/25/2011 10:43
13001,13,1/17/2011 12:45,7/4/2011 16:08
13002,1,1/25/2011 15:18,1/25/2011 15:18
13003,3,5/9/2011 8:23,8/26/2011 10:50
13004,18,1/10/2011 10:32,9/23/2011 8:30
13005,2,4/7/2011 13:32,6/19/2011 10:53
13006,1,10/14/2011 13:49,10/14/2011 13:49
13008,1,1/20/2011 14:24,1/20/2011 14:24
13011,1,12/2/2010 17:22,12/2/2010 17:22
13012,8,11/16/2011 16:18,9/22/2011 16:53
13013,13,10/6/2011 10:48,9/8/2011 11:46
13014,10,11/17/2011 13:48,9/26/2011 10:35
13015,5,10/17/2011 13:19,5/26/2011 16:25
13016,3,8/8/2011 15:00,9/27/2011 14:08
13017,1,12/2/2011 15:53,12/2/2011 15:53
13018,28,10/6/2011 14:59,9/8/2011 12:01
